python3 featureextract.py 
{'slip': 0.00288402269260829, 'pose': (1.1052752507133112, 0.46980491552720705)}
{'slip': 0.003866525648413721, 'pose': (1.1639414724057424, 0.47610881674334027)}
{'slip': 0.005095473412911777, 'pose': (1.2230004626914839, 0.4823919045841697)}
{'slip': 0.014086768008684303, 'pose': (1.2789443179821782, 0.48790368127489736)}
{'slip': 0.009480993744906685, 'pose': (1.3369111263750255, 0.49380619371085765)}
{'slip': 0.0024160509445777523, 'pose': (1.3858235157622107, 0.4980578667917887)}
{'slip': 0.004030413474764627, 'pose': (1.454603227614808, 0.5028227907606146)}
{'slip': 0.003981330837671271, 'pose': (1.5140312761793386, 0.505979260318197)}
{'slip': 0.0016151807219559333, 'pose': (1.5731359703402892, 0.5082961064919954)}
{'slip': 0.006012418322135338, 'pose': (1.6324701091759064, 0.5101503545085533)}
{'slip': 0.0016451943973818661, 'pose': (1.6918260067419768, 0.5115310915156793)}
{'slip': 0.004447911846519326, 'pose': (1.7509085854403423, 0.5125316923227788)}
{'slip': 0.003912411443814934, 'pose': (1.8104401638781207, 0.5133271697680961)}
{'slip': 0.0020727722766866186, 'pose': (1.869472041039378, 0.5138070188377156)}
{'slip': 0.0062563044791861255, 'pose': (1.9288542649297429, 0.5141068445057435)}
{'slip': 0.0016545592519943697, 'pose': (1.9881043722936607, 0.5142744653358672)}
{'slip': 0.00486890080308483, 'pose': (2.0472371733164563, 0.5141853486879913)}
{'slip': 0.0032480052349628807, 'pose': (2.1067209048311932, 0.5139172716190271)}
{'slip': 0.0024381389162184686, 'pose': (2.165835376533372, 0.5134984656641537)}
{'slip': 0.29498575052800247, 'pose': (2.2252765665510306, 0.5127575297997127)}
{'slip': 0.1617462825056748, 'pose': (2.2714928233351226, 0.5120859892970426)}
{'slip': 0.10850340178877386, 'pose': (2.2965892339031035, 0.5127013445471225)}
{'slip': 0.05747759534777978, 'pose': (2.314638657045668, 0.5144400021411772)}
{'slip': 0.0012741262600556894, 'pose': (2.318326262640996, 0.5153626851674733)}
{'slip': 0.007729978787722663, 'pose': (2.317060487797023, 0.515423186907256)}
{'slip': 0.008128605223804224, 'pose': (2.3145314876190795, 0.5159764608795251)}
{'slip': 0.0058266432552234225, 'pose': (2.3119251542538, 0.5166940890562521)}
{'slip': 0.005821323371548798, 'pose': (2.3107610980996576, 0.5163248659918491)}
{'slip': 0.004488193101690469, 'pose': (2.309217397614873, 0.5156353269713174)}
{'slip': 9.226651811972586e-05, 'pose': (2.306980410256846, 0.5157599175966705)}
{'slip': 0.0038660775433240853, 'pose': (2.3056532369617537, 0.5154133920070186)}
{'slip': 0.002923489661332619, 'pose': (2.3052806013558604, 0.5146229667053573)}
{'slip': 0.0010452216842778933, 'pose': (2.3047200017583434, 0.5141909342384994)}
{'slip': 0.005512781026148519, 'pose': (2.3032895689121493, 0.5126262202748094)}
{'slip': 0.0067904998130491395, 'pose': (2.3033751379664174, 0.5110806927221341)}
{'slip': 0.30678211760461543, 'pose': (2.3038412680567, 0.5095291757605426)}
{'slip': 0.20113817734417858, 'pose': (2.2973454806978637, 0.5116415322020886)}
{'slip': 0.11970676491433377, 'pose': (2.269259642678759, 0.5256627280784809)}
{'slip': 0.03628448396609435, 'pose': (2.2288295942001466, 0.5433372273075043)}
{'slip': 0.017778555581408118, 'pose': (2.178476967357468, 0.5639403631484075)}
{'slip': 0.009024263954102107, 'pose': (2.1260158472923623, 0.58709281780378)}
{'slip': 0.007605036557308598, 'pose': (2.073420964732394, 0.6131857118065187)}
{'slip': 0.005540968623810871, 'pose': (2.0219710620878093, 0.6407721933286908)}
{'slip': 0.008239682928670944, 'pose': (1.971195159114128, 0.6706492199851448)}
{'slip': 0.004008848051992697, 'pose': (1.9212364077082196, 0.7012752778180887)}
{'slip': 0.008973819349558931, 'pose': (1.8718356772082312, 0.7331035389727568)}
{'slip': 0.00422684903402587, 'pose': (1.822827281376172, 0.7656782063904725)}
{'slip': 0.007370084846392677, 'pose': (1.7743723373958578, 0.7985522434271151)}
{'slip': 0.29410299239847815, 'pose': (1.7259535773078327, 0.8323336525379399)}
{'slip': 0.21857178025755625, 'pose': (1.6816387167837974, 0.8634623613822836)}
{'slip': 0.16478931578687056, 'pose': (1.6519834025810147, 0.8849213387200429)}
{'slip': 0.09053668534522358, 'pose': (1.6305517507711307, 0.9005998705734714)}
{'slip': 0.019537147811861555, 'pose': (1.6224189614231757, 0.9055592956172152)}
{'slip': 0.002973610160248758, 'pose': (1.6206880081192065, 0.9057870586877367)}
{'slip': 0.005746719637226305, 'pose': (1.6195050335560912, 0.9051549652839858)}
{'slip': 0.26969364057377637, 'pose': (1.6182319933023563, 0.9043626638115942)}
{'slip': 0.17868829464880104, 'pose': (1.6043578304322388, 0.9018075078845507)}
{'slip': 0.08816623710114718, 'pose': (1.5705454026967358, 0.8934303855371124)}
{'slip': 0.04671313611038491, 'pose': (1.5341751236036305, 0.8837718016866446)}
{'slip': 0.017624764574771468, 'pose': (1.4717380329634864, 0.865942259441412)}
{'slip': 0.0036023986469464475, 'pose': (1.4153924000318747, 0.8516589831407753)}
{'slip': 0.005080120292059842, 'pose': (1.3578842122589283, 0.8389639123800035)}
{'slip': 0.004949529538606057, 'pose': (1.299639343213725, 0.8277902418002003)}
{'slip': 0.0024811923881081777, 'pose': (1.2414594318560261, 0.8177532998608903)}
{'slip': 0.006386004723311023, 'pose': (1.1830228943457362, 0.8084501251539664)}
{'slip': 0.0027453328819872502, 'pose': (1.124412378154649, 0.7996549685143777)}
{'slip': 0.004480960889634733, 'pose': (1.0660553332916136, 0.7913262349390204)}
{'slip': 0.00513945232826124, 'pose': (1.0072550926486923, 0.7831215413222501)}
{'slip': 0.002627638244419972, 'pose': (0.9488449266400554, 0.7752375233359058)}
{'slip': 0.007025844967263439, 'pose': (0.8901853474238574, 0.7674292365328096)}
{'slip': 0.002623824966664967, 'pose': (0.8315390341275679, 0.7597002016501992)}
